iteration,fitness,time
0,34.0,6.7679e-05
10,36.0,0.000242611
20,41.0,0.000217371
30,45.0,0.000287064
40,47.0,0.000348611
50,55.0,0.000900345
60,51.0,0.000498201
70,48.0,0.000229151
80,59.0,0.000159344
90,58.0,0.000195172
100,54.0,0.000235661
110,56.0,0.000217602
120,56.0,0.000347822
130,64.0,0.00028149
140,60.0,0.000328622
150,65.0,0.000603047
160,63.0,0.000414285
170,64.0,0.000545299
180,70.0,0.000510116
190,65.0,0.000308941
200,69.0,0.000301403
210,70.0,0.000419757
220,65.0,0.00031918
230,75.0,0.000107542
240,62.0,9.0956e-05
250,74.0,0.000114068
260,65.0,6.4008e-05
270,74.0,0.000105854
280,71.0,0.000118435
290,73.0,0.000140797
300,75.0,9.9394e-05
310,72.0,0.000103753
320,77.0,0.00010554
330,76.0,0.000122287
340,75.0,0.000116095
350,75.0,0.000121282
360,78.0,0.000136284
370,75.0,0.000149315
380,77.0,0.000137802
390,78.0,0.0001695
400,76.0,0.000128703
410,75.0,0.000140313
420,78.0,0.000130758
430,77.0,0.000117819
440,79.0,0.000140165
450,75.0,0.000205558
460,73.0,0.00014592
470,80.0,0.000160904
480,78.0,0.000163789
490,80.0,0.000150096
500,80.0,0.000127261
510,78.0,0.000160627
520,77.0,0.000171339
530,80.0,0.00015648
540,79.0,0.000134192
550,78.0,0.00014149
560,79.0,0.000135554
570,79.0,0.000132077
580,79.0,0.000131079
590,80.0,0.000135553
600,80.0,0.000139734
610,78.0,0.000144237
620,80.0,0.000148743
630,78.0,0.000150389
640,80.0,0.00052791
650,79.0,0.000151164
660,80.0,0.000180907
670,80.0,0.000162963
680,80.0,0.00015673
690,79.0,0.000169116
700,80.0,0.000150293
710,79.0,0.000184806
720,78.0,0.000182439
730,80.0,0.000179969
740,80.0,0.000176622
750,80.0,0.000192453
760,80.0,0.000145257
770,80.0,0.000242635
780,80.0,0.000201099
790,80.0,0.000196327
800,80.0,0.000208452
810,79.0,0.00016071
820,80.0,0.00018692
830,80.0,0.000200721
840,79.0,0.000146268
850,80.0,0.000153113
860,79.0,0.000194948
870,78.0,0.000491307
880,79.0,0.000215113
890,80.0,0.000225612
900,80.0,0.000161157
910,80.0,0.000217882
920,79.0,0.000164456
930,80.0,0.000218714
940,79.0,0.000169357
950,80.0,0.000208615
960,80.0,0.000193901
970,80.0,0.000298535
980,80.0,0.000215394
990,80.0,0.000178879
1000,80.0,0.000189628
1010,80.0,0.000177482
1020,80.0,0.000858697
1030,80.0,0.000217763
1040,80.0,0.000496648
1050,80.0,0.000419716
1060,80.0,0.000232089
1070,80.0,0.000193356
1080,80.0,0.000229884
1090,80.0,0.000178666
1100,80.0,0.000196497
1110,80.0,0.000226664
1120,80.0,0.00023553
1130,80.0,0.000228368
1140,80.0,0.000247246
1150,80.0,0.000177436
1160,80.0,0.000186998
1170,80.0,0.00019072
1180,80.0,0.000209899
1190,80.0,0.000223024
1200,80.0,0.000229549
1210,80.0,0.000244157
1220,80.0,0.000235904
1230,80.0,0.000282318
1240,80.0,0.000300699
1250,79.0,0.000309895
1260,80.0,0.000286398
1270,80.0,0.000303429
1280,80.0,0.000266868
1290,80.0,0.000252439
1300,80.0,0.000245147
1310,80.0,0.000401019
1320,80.0,0.000235867
1330,80.0,0.00024398
1340,80.0,0.000252609
1350,80.0,0.000322351
1360,80.0,0.000247034
1370,80.0,0.00029309
1380,80.0,0.000276973
1390,80.0,0.000316781
1400,80.0,0.000476237
1410,80.0,0.001307215
1420,80.0,0.000731005
1430,80.0,0.000829429
1440,80.0,0.001109794
1450,80.0,0.00082678
1460,80.0,0.000777287
1470,80.0,0.001004056
1480,80.0,0.000946531
1490,80.0,0.000836976
1500,80.0,0.00086297
1510,80.0,0.00076546
1520,80.0,0.000814678
1530,80.0,0.000779357
1540,80.0,0.000805513
1550,80.0,0.000784537
1560,80.0,0.000811952
1570,80.0,0.000702905
1580,80.0,0.000916149
1590,80.0,0.000783961
1600,80.0,0.000838282
1610,80.0,0.000665965
1620,80.0,0.000895876
1630,80.0,0.000771267
1640,80.0,0.00081861
1650,80.0,0.00082126
1660,80.0,0.000810403
1670,80.0,0.000897987
1680,80.0,0.00086577
1690,80.0,0.000851714
1700,80.0,0.001055524
1710,80.0,0.000866032
1720,80.0,0.000905944
1730,80.0,0.000806642
1740,80.0,0.003389794
1750,80.0,0.000905436
1760,80.0,0.001035219
1770,80.0,0.001412102
1780,80.0,0.000751065
1790,80.0,0.000710592
1800,80.0,0.000729331
1810,80.0,0.001204828
1820,80.0,0.00131812
1830,80.0,0.000927368
1840,80.0,0.001058314
1850,80.0,0.001057901
1860,80.0,0.00134274
1870,80.0,0.001240234
1880,80.0,0.005531752
1890,80.0,0.000398142
1900,80.0,0.000352415
1910,80.0,0.000350934
1920,80.0,0.000606935
1930,80.0,0.000390253
1940,80.0,0.002560451
1950,80.0,0.00036193
1960,80.0,0.000284128
1970,80.0,0.000319747
1980,80.0,0.000300529
1990,80.0,0.000522467
2000,80.0,0.000810178
2010,80.0,0.000379262
2020,80.0,0.000525197
2030,80.0,0.000970019
2040,80.0,0.000412541
2050,80.0,0.000385717
2060,80.0,0.000402719
2070,80.0,0.000295209
2080,80.0,0.00035297
2090,80.0,0.000584236
2100,80.0,0.000332132
2110,80.0,0.00047565
2120,80.0,0.000349602
2130,80.0,0.000361567
2140,80.0,0.000376504
2150,80.0,0.000402806
2160,80.0,0.000410034
2170,80.0,0.001549102
2180,80.0,0.000452712
2190,80.0,0.000377816
2200,80.0,0.000552988
2210,80.0,0.000331655
2220,80.0,0.000408218
2230,80.0,0.000379099
2240,80.0,0.000396919
2250,80.0,0.000313707
2260,80.0,0.000334788
2270,80.0,0.000386032
2280,80.0,0.000400649
2290,80.0,0.000423855
2300,80.0,0.000399328
2310,80.0,0.000482226
2320,80.0,0.000715347
2330,80.0,0.000430485
2340,80.0,0.000501885
2350,80.0,0.000846149
2360,80.0,0.000414204
2370,80.0,0.000427833
2380,80.0,0.000456172
2390,80.0,0.000488544
2400,80.0,0.000557314
2410,80.0,0.000596427
2420,80.0,0.000463918
2430,80.0,0.000654269
2440,80.0,0.00048667
2450,80.0,0.000471188
2460,80.0,0.000406933
2470,80.0,0.000495205
2480,80.0,0.000443142
2490,80.0,0.000582028
2500,80.0,0.000387518
2510,80.0,0.000555638
2520,80.0,0.000449332
2530,80.0,0.000486701
2540,80.0,0.000532246
2550,80.0,0.000485436
2560,80.0,0.000427788
2570,80.0,0.000394756
2580,80.0,0.001141068
2590,80.0,0.000399992
2600,80.0,0.000455241
2610,80.0,0.000399705
2620,80.0,0.000526789
2630,80.0,0.000517028
2640,80.0,0.000452198
2650,80.0,0.000414589
2660,80.0,0.000416368
2670,80.0,0.000513587
2680,80.0,0.002727834
2690,80.0,0.000384461
2700,80.0,0.000397069
2710,80.0,0.000410304
2720,80.0,0.000473305
2730,80.0,0.000407865
2740,80.0,0.000411468
2750,80.0,0.000393155
2760,80.0,0.000417133
2770,80.0,0.00038923
2780,80.0,0.000389189
2790,80.0,0.000400651
2800,80.0,0.000567671
2810,80.0,0.000384468
2820,80.0,0.00038611
2830,80.0,0.000403147
2840,80.0,0.000402554
2850,80.0,0.000391607
2860,80.0,0.000395259
2870,80.0,0.000392865
2880,80.0,0.000409985
2890,80.0,0.000397507
2900,80.0,0.000427502
2910,80.0,0.000620139
2920,80.0,0.000417114
2930,80.0,0.000398413
2940,80.0,0.00043042
2950,80.0,0.000419305
2960,80.0,0.000408251
2970,80.0,0.000442769
2980,80.0,0.00061526
2990,80.0,0.000494722
3000,80.0,0.000418205
3010,80.0,0.000418299
3020,80.0,0.00051581
3030,80.0,0.000434341
3040,80.0,0.000420204
3050,80.0,0.000422088
3060,80.0,0.000436362
3070,80.0,0.00047992
3080,80.0,0.000624491
3090,80.0,0.001329982
3100,80.0,0.000419488
3110,80.0,0.000427493
3120,80.0,0.000564595
3130,80.0,0.000432882
3140,80.0,0.000450721
3150,80.0,0.000495777
3160,80.0,0.000667587
3170,80.0,0.000434473
3180,80.0,0.000547588
3190,80.0,0.000450714
3200,80.0,0.000566412
3210,80.0,0.00054879
3220,80.0,0.000541952
3230,80.0,0.00053079
3240,80.0,0.000701252
3250,80.0,0.000581358
3260,80.0,0.000570971
3270,80.0,0.000451824
3280,80.0,0.000461666
3290,80.0,0.000456889
3300,80.0,0.000451394
3310,80.0,0.000694293
3320,80.0,0.001070726
3330,80.0,0.001492098
3340,80.0,0.001407594
3350,80.0,0.001287697
3360,80.0,0.000571186
3370,80.0,0.001230005
3380,80.0,0.000700727
3390,80.0,0.001828633
3400,80.0,0.001680499
3410,80.0,0.001355503
3420,80.0,0.001404111
3430,80.0,0.00176808
3440,80.0,0.002961191
3450,80.0,0.002407805
3460,80.0,0.00165305
3470,80.0,0.003665897
3480,80.0,0.001474308
3490,80.0,0.001854187
3500,80.0,0.001976471
3510,80.0,0.001997283
3520,80.0,0.009355398
3530,80.0,0.001942964
3540,80.0,0.002418011
3550,80.0,0.002970734
3560,80.0,0.001711324
3570,80.0,0.002072226
3580,80.0,0.005772896
3590,80.0,0.000639631
3600,80.0,0.000795721
3610,80.0,0.00091019
3620,80.0,0.000518403
3630,80.0,0.000611686
3640,80.0,0.000780316
3650,80.0,0.000496905
3660,80.0,0.000594549
3670,80.0,0.001225476
3680,80.0,0.000849772
3690,80.0,0.000764756
3700,80.0,0.000772437
3710,80.0,0.001003365
3720,80.0,0.000512208
3730,80.0,0.000559443
3740,80.0,0.00058147
3750,80.0,0.000516852
3760,80.0,0.000590531
3770,80.0,0.000522633
3780,80.0,0.00086617
3790,80.0,0.001574241
3800,80.0,0.000938589
3810,80.0,0.000771685
3820,80.0,0.00058699
3830,80.0,0.000678588
3840,80.0,0.000660642
3850,80.0,0.000665357
3860,80.0,0.000886403
3870,80.0,0.00056426
3880,80.0,0.000645137
3890,80.0,0.000563057
3900,80.0,0.000624545
3910,80.0,0.000545184
3920,80.0,0.000758993
3930,80.0,0.000751739
3940,80.0,0.000583696
3950,80.0,0.000528092
3960,80.0,0.00066607
3970,80.0,0.00055725
3980,80.0,0.000595025
3990,80.0,0.000540911
4000,80.0,0.000654574
4010,80.0,0.0006532
4020,80.0,0.000578092
4030,80.0,0.000563736
4040,80.0,0.000555364
4050,80.0,0.000554236
4060,80.0,0.000639875
4070,80.0,0.001709998
4080,80.0,0.000646681
4090,80.0,0.000633516
4100,80.0,0.000656513
4110,80.0,0.000567309
4120,80.0,0.000568672
4130,80.0,0.00056008
4140,80.0,0.000780428
4150,80.0,0.000642817
4160,80.0,0.001059012
4170,80.0,0.000624749
4180,80.0,0.000650553
4190,80.0,0.000684892
4200,80.0,0.000760238
4210,80.0,0.000761804
4220,80.0,0.000759388
4230,80.0,0.000788901
4240,80.0,0.000669234
4250,80.0,0.000643044
4260,80.0,0.000665318
4270,80.0,0.000652011
4280,80.0,0.00076973
4290,80.0,0.00333126
4300,80.0,0.000710027
4310,80.0,0.00073048
4320,80.0,0.000707146
4330,80.0,0.000728354
4340,80.0,0.00058658
4350,80.0,0.00078418
4360,80.0,0.000740727
4370,80.0,0.000760021
4380,80.0,0.000600951
4390,80.0,0.000597819
4400,80.0,0.000625413
4410,80.0,0.000598975
4420,80.0,0.000595411
4430,80.0,0.000629855
4440,80.0,0.000598759
4450,80.0,0.000603289
4460,80.0,0.000699087
4470,80.0,0.00061202
4480,80.0,0.000748836
4490,80.0,0.000739496
4500,80.0,0.000809212
4510,80.0,0.000627961
4520,80.0,0.000748471
4530,80.0,0.000616303
4540,80.0,0.000625832
4550,80.0,0.000651498
4560,80.0,0.000643502
4570,80.0,0.000620696
4580,80.0,0.000800481
4590,80.0,0.000636103
4600,80.0,0.000680639
4610,80.0,0.00062533
4620,80.0,0.000632351
4630,80.0,0.000619736
4640,80.0,0.000748448
4650,80.0,0.000788755
4660,80.0,0.000774477
4670,80.0,0.00117104
4680,80.0,0.001261538
4690,80.0,0.000794744
4700,80.0,0.000959238
4710,80.0,0.000655363
4720,80.0,0.000789562
4730,80.0,0.000815979
4740,80.0,0.000936717
4750,80.0,0.00103041
4760,80.0,0.000993032
4770,80.0,0.001328609
4780,80.0,0.000979619
4790,80.0,0.000809307
4800,80.0,0.000859057
4810,80.0,0.001230275
4820,80.0,0.000674021
4830,80.0,0.000813529
4840,80.0,0.000844139
4850,80.0,0.001910793
4860,80.0,0.00153832
4870,80.0,0.001026555
4880,80.0,0.001020343
4890,80.0,0.000822657
4900,80.0,0.000680531
4910,80.0,0.000770044
4920,80.0,0.002915356
4930,80.0,0.003161481
4940,80.0,0.001990697
4950,80.0,0.002286615
4960,80.0,0.003023878
4970,80.0,0.00314504
4980,80.0,0.002115635
4990,80.0,0.002450548
